ESR Covid-19 Dashboard,,,,,,,,,,,,,
Data downloaded: 04/12/2020 10:32,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Region,Daily imported cases,Daily import-related cases,Daily locally acquired cases  epidemiologically linked,Daily locally acquired cases  unknown source,Daily under investigation,Daily total cases,Cumulative imported cases,Cumulative import-related cases,Cumulative locally acquired cases  epidemiologically linked,Cumulative locally acquired cases  unknown source,Cumulative under investigation,Cumulative total cases
16/10/2020,Southern,0,0,0,0,0,0,52,131,14,19,0,216
16/10/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
16/10/2020,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
16/10/2020,Waikato,0,0,0,0,0,0,55,133,4,2,0,194
16/10/2020,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
16/10/2020,Waitemata,0,0,0,0,0,0,86,29,171,7,0,293
16/10/2020,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
16/10/2020,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
15/10/2020,Auckland,3,0,0,0,0,3,141,23,122,12,0,298
15/10/2020,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
15/10/2020,Canterbury,1,0,0,0,0,1,74,16,99,7,0,196
15/10/2020,Capital and Coast,1,0,0,0,0,1,56,37,4,1,0,98
15/10/2020,Counties Manukau,0,0,0,0,0,0,135,22,119,13,0,289
15/10/2020,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
15/10/2020,Hutt Valley,0,0,0,0,0,0,14,6,2,0,0,22
15/10/2020,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
15/10/2020,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
15/10/2020,Nelson Marlborough,0,0,0,0,0,0,26,15,4,4,0,49
15/10/2020,Northland,0,0,0,0,0,0,12,7,4,5,0,28
15/10/2020,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
15/10/2020,Southern,0,0,0,0,0,0,52,131,14,19,0,216
15/10/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
15/10/2020,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
15/10/2020,Waikato,0,0,0,0,0,0,55,133,4,2,0,194
15/10/2020,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
15/10/2020,Waitemata,0,0,0,0,0,0,86,29,171,7,0,293
15/10/2020,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
15/10/2020,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
14/10/2020,Auckland,0,0,0,0,0,0,138,23,122,12,0,295
14/10/2020,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
14/10/2020,Canterbury,1,0,0,0,0,1,73,16,99,7,0,195
14/10/2020,Capital and Coast,0,0,0,0,0,0,55,37,4,1,0,97
14/10/2020,Counties Manukau,0,0,0,0,0,0,135,22,119,13,0,289
14/10/2020,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
14/10/2020,Hutt Valley,0,0,0,0,0,0,14,6,2,0,0,22
