ESR Covid-19 Dashboard,,,,,,,,,,,,,
Data downloaded: 05/02/2021 20:21,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Region,Daily imported cases,Daily import-related cases,Daily locally acquired cases  epidemiologically linked,Daily locally acquired cases  unknown source,Daily under investigation,Daily total cases,Cumulative imported cases,Cumulative import-related cases,Cumulative locally acquired cases  epidemiologically linked,Cumulative locally acquired cases  unknown source,Cumulative under investigation,Cumulative total cases
25/01/2021,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
25/01/2021,Northland,0,0,0,0,0,0,12,8,4,5,0,29
25/01/2021,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
25/01/2021,Southern,0,0,0,0,0,0,52,131,14,19,0,216
25/01/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
25/01/2021,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
25/01/2021,Waikato,0,0,0,0,0,0,59,133,4,2,0,198
25/01/2021,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
25/01/2021,Waitemata,0,0,0,0,0,0,86,32,170,9,0,297
25/01/2021,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
25/01/2021,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
24/01/2021,Auckland,4,0,0,0,0,4,275,26,119,13,0,433
24/01/2021,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
24/01/2021,Canterbury,1,0,0,0,0,1,201,18,99,8,0,326
24/01/2021,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
24/01/2021,Counties Manukau,1,0,0,0,0,1,256,29,118,15,0,418
24/01/2021,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
24/01/2021,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
24/01/2021,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
24/01/2021,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
24/01/2021,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
24/01/2021,Northland,0,0,0,0,0,0,12,8,4,5,0,29
24/01/2021,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
24/01/2021,Southern,0,0,0,0,0,0,52,131,14,19,0,216
24/01/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
24/01/2021,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
24/01/2021,Waikato,0,0,0,0,0,0,59,133,4,2,0,198
24/01/2021,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
24/01/2021,Waitemata,0,0,0,0,0,0,86,32,170,9,0,297
24/01/2021,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
24/01/2021,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
23/01/2021,Auckland,3,0,0,0,0,3,271,26,119,13,0,429
23/01/2021,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
23/01/2021,Canterbury,0,0,0,0,0,0,200,18,99,8,0,325
23/01/2021,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
23/01/2021,Counties Manukau,2,0,0,0,0,2,255,29,118,15,0,417
23/01/2021,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
23/01/2021,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
23/01/2021,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
23/01/2021,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
23/01/2021,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
23/01/2021,Northland,0,1,0,0,0,1,12,8,4,5,0,29
23/01/2021,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
23/01/2021,Southern,0,0,0,0,0,0,52,131,14,19,0,216
23/01/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
23/01/2021,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
23/01/2021,Waikato,0,0,0,0,0,0,59,133,4,2,0,198
23/01/2021,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
23/01/2021,Waitemata,0,0,0,0,0,0,86,32,170,9,0,297
23/01/2021,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
23/01/2021,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
22/01/2021,Auckland,0,0,0,0,0,0,268,26,119,13,0,426
22/01/2021,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
22/01/2021,Canterbury,0,0,0,0,0,0,200,18,99,8,0,325
22/01/2021,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
22/01/2021,Counties Manukau,3,0,0,0,0,3,253,29,118,15,0,415
22/01/2021,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
22/01/2021,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
